ref_date,theta0,FORECAST,STD,L95,U95,RESIDUAL,ref_year
14245,4.8840812119,4.8733502361,0.3066092305,4.272407187,5.4742932852,0.0107309758,1999
14610,5.1170378261,5.0355281361,0.3066092305,4.434585087,5.6364711853,0.08150969,2000
14976,5.2614634211,4.9872671909,0.3066092305,4.3863241418,5.58821024,0.2741962302,2001
15341,5.0459860451,5.0734770103,0.3066092305,4.4725339612,5.6744200594,-0.027490965,2002
15706,4.5880263417,4.7516464054,0.3066092305,4.1507033563,5.3525894546,-0.163620064,2003
16071,4.7066593509,4.9348427748,0.3066092305,4.3338997256,5.5357858239,-0.228183424,2004
16437,5.1390482302,5.2857988666,0.3066092305,4.6848558175,5.8867419157,-0.146750636,2005
16802,4.5321044943,4.8428407457,0.3066092305,4.2418976965,5.4437837948,-0.310736251,2006
17167,4.7473609775,4.7364354493,0.3066092305,4.1354924001,5.3373784984,0.0109255282,2007
17532,4.4221321383,5.1051759498,0.3066092305,4.5042329007,5.706118999,-0.683043812,2008
17898,5.6685551185,5.0687153357,0.3066092305,4.4677722866,5.6696583848,0.5998397827,2009
18263,5.4474158011,5.0212773524,0.3066092305,4.4203343032,5.6222204015,0.4261384487,2010
18628,4.9185777992,4.8532172826,0.3066092305,4.2522742335,5.4541603318,0.0653605166,2011
18993,4.5069623382,4.9561585319,0.3066092305,4.3552154828,5.5571015811,-0.449196194,2012
19359,4.8937677277,4.9524059233,0.3066092305,4.3514628742,5.5533489725,-0.058638196,2013
19724,5.2074522263,5.0953011912,0.3066092305,4.4943581421,5.6962442403,0.1121510351,2014
20089,5.254534242,4.8810832846,0.3066092305,4.2801402354,5.4820263337,0.3734509574,2015
20454,4.9020702834,4.821013376,0.3066092305,4.2200703268,5.4219564251,0.0810569075,2016
20820,5.4196546619,5.4640543455,0.3066092305,4.8631112964,6.0649973946,-0.044399684,2017
21185,5.0083484129,5.1340679991,0.3066092305,4.53312495,5.7350110483,-0.125719586,2018
21550,5.468825112,5.6726726232,0.3066092305,5.071729574,6.2736156723,-0.203847511,2019
21915,5.8393116263,5.4330453764,0.3066092305,4.8321023272,6.0339884255,0.40626625,2020
