ref_date,theta2,FORECAST,STD,L95,U95,RESIDUAL,ref_year
14245,5.8311422378,,,,,,1999
14610,6.064209901,6.2451494888,0.3614480556,5.5367243176,6.9535746601,-0.180939588,2000
14976,6.6407872039,6.2647105495,0.3614480556,5.5562853782,6.9731357208,0.3760766544,2001
15341,6.2890243089,6.1113698765,0.3614480556,5.4029447052,6.8197950478,0.1776544324,2002
15706,5.6124883271,5.7843058374,0.3614480556,5.0758806661,6.4927310086,-0.17181751,2003
16071,6.3072516101,6.0315285968,0.3614480556,5.3231034255,6.7399537681,0.2757230133,2004
16437,6.1378026665,6.5564489633,0.3614480556,5.848023792,7.2648741346,-0.418646297,2005
16802,5.5406968173,5.7500523436,0.3614480556,5.0416271723,6.4584775149,-0.209355526,2006
17167,5.2307110238,5.405812975,0.3614480556,4.6973878037,6.1142381463,-0.175101951,2007
17532,6.3687074976,6.1281977634,0.3614480556,5.4197725921,6.8366229347,0.2405097341,2008
17898,6.7812984098,6.3826173436,0.3614480556,5.6741921723,7.0910425149,0.3986810662,2009
18263,6.0935310514,6.0473345559,0.3614480556,5.3389093846,6.7557597272,0.0461964955,2010
18628,6.5370881144,6.2257598516,0.3614480556,5.5173346803,6.9341850229,0.3113282627,2011
18993,5.6110317879,5.8989936661,0.3614480556,5.1905684948,6.6074188373,-0.287961878,2012
19359,5.8122867904,6.2361729669,0.3614480556,5.5277477956,6.9445981382,-0.423886176,2013
19724,6.0782236231,6.1331132966,0.3614480556,5.4246881254,6.8415384679,-0.054889674,2014
20089,6.4511607643,5.6402262994,0.3614480556,4.9318011282,6.3486514707,0.8109344648,2015
20454,5.4922624753,5.7673276677,0.3614480556,5.0589024964,6.475752839,-0.275065192,2016
20820,6.5036405374,6.5281678406,0.3614480556,5.8197426693,7.2365930119,-0.024527303,2017
21185,5.5152293875,6.1785096966,0.3614480556,5.4700845254,6.8869348679,-0.663280309,2018
21550,6.9574002586,6.8803582087,0.3614480556,6.1719330374,7.58878338,0.0770420499,2019
21915,6.577686026,6.4063607944,0.3614480556,5.6979356231,7.1147859656,0.1713252316,2020
